Employee_ID,Age,Gender,Department,Shift_Type,Years_of_Service,Wages,Overtime_Hours,Job_Satisfaction,Attendance_Rate,Fatigue_Score,Overtime_Trend,Attrition
EMP0001,46,Male,Logistics,Day,15,44293,10,5,82.99752796927083,14.463287629295932,-1.3346667624329607,0
EMP0002,32,Male,Quality Control,Evening,5,29327,20,3,93.99075586008374,46.292289028332746,-4.483831869017826,0
EMP0003,25,Male,Logistics,Night,14,30576,20,2,92.1842396165234,45.947356850891865,0.4109113740726057,1
EMP0004,38,Female,Production,Night,4,15946,17,3,82.78954881972103,52.38487768491393,-1.5512132092047823,1
EMP0005,36,Female,Production,Day,9,29693,28,5,80.0111262272689,48.85776753666792,-1.6006708123306075,0
EMP0006,40,Female,Quality Control,Evening,15,42241,23,4,79.49406352184496,47.643877820404995,-0.9979745119582237,0
EMP0007,28,Male,Quality Control,Evening,9,31890,9,2,93.21985261882027,23.174511752893906,3.489722813246987,0
EMP0008,28,Female,Production,Night,15,30540,16,1,71.5621721866381,50.66064602116743,4.809675084507946,1
EMP0009,41,Female,Logistics,Night,14,21719,17,1,70.38464948531818,42.50205993737486,0.4344158750568018,1
EMP0010,53,Male,Production,Evening,5,23435,19,3,93.86633175779944,47.13920169367504,-0.9295344478234554,0
EMP0011,41,Female,Quality Control,Day,10,40081,36,4,84.31439127967148,67.70665082444775,-2.3544528349024207,0
EMP0012,20,Male,Production,Night,4,44093,17,1,73.92643415660729,48.081700402702054,0.9370803230921382,1
EMP0013,39,Male,Quality Control,Day,7,26350,16,3,77.06697803783504,43.423494571617084,3.565811200130288,0
EMP0014,19,Male,Quality Control,Day,15,37744,8,5,97.97511859292148,13.155266186376506,-0.4946807740503135,0
EMP0015,41,Male,Production,Night,6,39041,13,3,95.78508926874694,47.48652411296766,-4.7579920815064485,0
EMP0016,47,Male,Logistics,Day,4,18590,28,3,91.29355150671918,50.8695468232929,1.3400993436310475,0
EMP0017,55,Male,Maintenance,Day,13,25064,30,3,84.4667569101198,62.16703038176335,1.970799422900099,0
EMP0018,19,Male,Production,Evening,13,43369,3,2,85.60970878574157,13.261555021393153,-3.171691280771695,0
EMP0019,38,Female,Maintenance,Day,15,32576,17,3,99.25733605851876,31.160621090687652,0.35296836732590564,0
EMP0020,50,Male,Production,Evening,10,44001,19,3,98.97311331652861,50.030361019358146,0.9024520322721976,0
EMP0021,29,Male,Maintenance,Night,2,44321,8,2,76.45807137357502,30.342190304905348,-0.14621460401787703,1
EMP0022,39,Male,Logistics,Night,1,32848,12,2,94.33313698915954,33.736371205497214,-1.5815418381707074,0
EMP0023,42,Female,Logistics,Evening,4,15390,14,5,75.91727998501051,31.815765584130855,2.0318744471271124,0
EMP0024,44,Male,Production,Night,4,36999,26,4,76.40612433651854,65.89516473294266,-0.8067594919373652,0
EMP0025,45,Male,Quality Control,Day,13,27668,14,1,90.2827910249373,36.96019375793546,-2.970372325399864,1
EMP0026,33,Female,Maintenance,Day,1,26569,27,1,82.15003295762645,47.655646876482564,-4.098948971339362,1
EMP0027,32,Male,Quality Control,Day,6,28029,36,3,97.9463322131956,66.99098533617013,2.5216990399986194,1
EMP0028,20,Male,Quality Control,Night,4,37490,18,5,72.67029204688026,39.20912539261203,1.2333279529422365,0
EMP0029,54,Male,Quality Control,Day,1,28107,25,3,85.3457692242848,46.08368267591048,0.1759470942583379,0
EMP0030,24,Female,Logistics,Night,1,40248,25,1,97.55564591329363,55.85712441422949,-0.8805492737016071,1
EMP0031,38,Male,Production,Day,15,17560,24,2,97.12340981438516,43.0272028626374,-1.057996828406254,1
EMP0032,26,Female,Production,Evening,13,20867,25,4,74.69587640247224,48.12047194125098,-2.1514732968832226,0
EMP0033,35,Male,Logistics,Night,1,30284,25,5,80.99913100289369,62.95455478696096,-0.8629112891197697,0
EMP0034,21,Female,Logistics,Night,8,16211,27,2,88.57364200140088,57.47596580914755,-4.240174430240349,1
EMP0035,42,Female,Production,Day,10,24121,17,4,74.78184654314207,34.595143434765625,-1.4721273069370284,0
EMP0036,31,Female,Quality Control,Night,8,16539,31,5,99.04066516137216,67.47438554837974,-0.6218750327021877,0
EMP0037,26,Male,Maintenance,Night,2,40488,2,5,97.44247986182981,18.57055048054425,1.2197600943808378,0
EMP0038,43,Female,Maintenance,Evening,11,32027,1,1,75.00850537103408,14.531666554592823,-0.07985292674672755,1
EMP0039,19,Male,Maintenance,Evening,13,44098,32,2,73.63466383782956,56.081702350514405,1.589846227751118,1
EMP0040,37,Male,Quality Control,Day,7,23693,18,5,72.56225448424796,33.57459717498477,2.698270210226859,0
EMP0041,45,Male,Production,Evening,14,23921,16,5,97.28330992109893,38.15879728290725,2.1163401876482033,0
EMP0042,24,Female,Logistics,Day,8,32667,32,4,75.80871429386383,53.178367703066925,0.9410196947571136,0
EMP0043,25,Female,Production,Day,8,39064,11,1,82.48854785633064,19.33852410446335,0.02372535836156841,0
