employee_id,age,experience_years,monthly_salary,shift_type,overtime_hours,attendance_percentage,leave_count,performance_rating,distance_from_home_km,attrition
EMP0001,56,36,37032,Night,44,81,7,4,38,1
EMP0002,46,27,24641,Rotational,39,97,11,1,38,0
EMP0003,32,13,42028,Night,9,73,4,5,13,0
EMP0004,25,5,27651,Night,54,98,8,3,32,1
EMP0005,38,19,20536,Day,27,61,7,2,19,0
EMP0006,56,35,18273,Night,10,91,0,1,17,0
EMP0007,36,17,18284,Night,34,62,8,2,2,1
EMP0008,40,21,37692,Rotational,14,67,12,3,18,1
EMP0009,28,9,20817,Night,7,85,13,1,39,0
EMP0010,28,9,40955,Night,19,91,13,2,27,0
EMP0011,41,19,38555,Rotational,49,70,4,3,14,0
EMP0012,53,31,32378,Night,58,60,8,1,15,1
EMP0013,57,35,29127,Rotational,20,74,8,3,8,0
EMP0014,41,21,29952,Night,0,63,9,1,9,1
EMP0015,20,0,23539,Day,28,63,9,4,21,0
EMP0016,39,18,26692,Day,23,87,2,4,43,0
EMP0017,19,0,30120,Night,29,69,7,2,35,1
EMP0018,41,21,25334,Day,39,70,6,5,14,0
EMP0019,47,28,40615,Rotational,34,82,14,5,27,0
EMP0020,55,36,19903,Night,32,62,6,3,8,1
EMP0021,19,0,40527,Rotational,19,98,11,1,35,0
EMP0022,38,17,27629,Day,56,98,9,4,18,0
EMP0023,50,29,29740,Rotational,15,76,1,5,14,0
EMP0024,29,10,38708,Day,8,81,1,4,8,0
EMP0025,39,18,22860,Day,30,86,1,3,49,0
EMP0026,42,20,29438,Day,16,75,12,3,8,0
EMP0027,44,25,13764,Rotational,58,75,10,1,37,1
EMP0028,59,39,18009,Day,30,99,1,5,44,0
EMP0029,45,25,32842,Night,47,62,13,3,2,1
EMP0030,33,12,15370,Day,22,92,3,3,17,0
EMP0031,32,13,32454,Night,5,61,6,4,13,1
EMP0032,20,1,15650,Night,29,98,1,2,14,1
EMP0033,54,34,37708,Night,54,86,4,5,41,1
EMP0034,24,5,15190,Night,6,74,13,1,41,1
EMP0035,38,19,20789,Rotational,55,66,6,1,9,1
EMP0036,26,7,44125,Night,47,68,8,4,27,1
EMP0037,56,35,29459,Day,39,65,7,1,20,0
EMP0038,35,16,30768,Night,41,71,8,3,38,1
EMP0039,21,0,27563,Day,45,89,6,5,12,0
EMP0040,42,21,39885,Rotational,10,79,2,1,42,0
EMP0041,31,12,33885,Night,33,79,0,5,22,0
EMP0042,26,7,18895,Day,11,86,9,1,37,0
EMP0043,43,21,35958,Rotational,59,79,6,2,39,0
EMP0044,19,0,13531,Rotational,59,66,12,2,31,1
EMP0045,37,17,17481,Day,51,99,10,5,13,1
EMP0046,45,25,35932,Night,51,99,5,2,1,1
EMP0047,24,3,33360,Rotational,44,89,1,2,38,0
EMP0048,25,6,36829,Day,46,67,0,3,40,1
EMP0049,52,33,31932,Night,26,61,11,1,9,1
EMP0050,31,11,27890,Rotational,57,73,9,2,39,0
EMP0051,34,14,30807,Day,11,69,3,5,10,0
EMP0052,53,33,23767,Rotational,12,77,13,3,29,0
EMP0053,57,35,20071,Rotational,7,77,3,2,40,0
EMP0054,21,1,38149,Day,15,75,5,5,30,0
EMP0055,19,0,27540,Rotational,28,64,10,1,2,0
EMP0056,23,2,16712,Day,34,90,4,2,18,0
EMP0057,59,40,38201,Night,59,96,8,5,28,1
EMP0058,21,1,31899,Day,28,79,7,5,47,0
EMP0059,46,27,31787,Night,30,82,8,4,32,0
EMP0060,35,16,32982,Rotational,12,91,9,5,24,0
EMP0061,43,23,34606,Day,11,76,6,4,38,0
EMP0062,51,31,22150,Day,50,72,8,1,14,0
EMP0063,27,6,32393,Day,1,72,2,1,25,0
EMP0064,53,31,39750,Day,32,76,8,3,25,0
EMP0065,31,9,20593,Night,7,74,1,4,32,0
EMP0066,48,29,29358,Night,40,85,8,5,27,0
EMP0067,32,12,28607,Rotational,56,87,12,3,32,0
EMP0068,25,4,36811,Rotational,58,89,5,3,31,0
EMP0069,31,10,40074,Rotational,39,94,3,1,24,0
EMP0070,40,19,32595,Rotational,52,81,11,5,35,0
EMP0071,57,36,38853,Day,48,69,13,4,30,1
EMP0072,38,17,20183,Night,40,70,11,1,33,0
EMP0073,33,11,32661,Night,31,97,12,3,33,0
EMP0074,35,13,25703,Night,37,92,10,2,46,0
EMP0075,41,19,42815,Night,27,65,1,3,27,1
EMP0076,43,23,41565,Rotational,14,96,12,2,33,0
EMP0077,42,23,34942,Day,22,66,9,1,33,0
EMP0078,58,37,21716,Night,23,71,2,4,4,0
EMP0079,46,26,12132,Day,12,66,4,5,30,1
EMP0080,32,11,15385,Day,20,61,8,2,44,1
EMP0081,18,0,19213,Day,53,60,6,5,15,1
EMP0082,42,22,38119,Day,11,82,10,1,29,0
EMP0083,24,2,14835,Night,12,84,11,1,28,1
EMP0084,26,5,14738,Night,38,77,12,1,32,1
EMP0085,41,20,16134,Night,22,66,10,4,36,1
EMP0086,18,0,37892,Rotational,49,62,2,2,30,1
EMP0087,25,4,20353,Night,45,88,12,5,42,1
EMP0088,41,19,27690,Rotational,42,69,3,3,43,1
EMP0089,28,7,13909,Rotational,27,64,13,1,38,1
EMP0090,34,15,37703,Rotational,13,93,11,5,42,0
EMP0091,25,6,26496,Night,16,67,10,5,12,1
EMP0092,52,30,24062,Night,23,73,1,4,3,0
EMP0093,52,32,21850,Night,52,99,13,2,15,1
EMP0094,50,29,39701,Rotational,57,65,7,4,48,1
EMP0095,22,3,17153,Rotational,33,60,5,4,10,1
EMP0096,59,38,22481,Day,50,92,2,5,22,0
EMP0097,56,35,12889,Rotational,47,99,12,2,23,1
EMP0098,58,38,31445,Rotational,21,70,4,2,11,0
EMP0099,45,26,18461,Night,9,83,4,2,16,0
EMP0100,24,3,40205,Day,53,69,11,1,49,1
EMP0101,26,7,35351,Day,7,82,0,2,46,0
EMP0102,25,3,28006,Day,20,75,12,5,16,0
EMP0103,29,7,22940,Night,36,96,4,1,14,0
EMP0104,51,30,23258,Day,6,75,5,3,6,0
EMP0105,50,31,36485,Day,25,90,9,4,42,0
EMP0106,40,19,35763,Night,12,65,9,2,17,1
EMP0107,41,22,13067,Day,15,89,10,3,31,0
EMP0108,54,35,32607,Rotational,29,96,10,2,42,0
EMP0109,52,32,21018,Rotational,30,60,10,4,10,0
EMP0110,57,37,27187,Rotational,4,84,12,5,46,0
EMP0111,39,19,15985,Rotational,31,80,1,5,20,0
EMP0112,44,23,31563,Rotational,15,94,2,4,49,0
EMP0113,52,32,30608,Rotational,46,97,9,3,9,0
EMP0114,18,0,13726,Rotational,8,64,4,1,15,1
EMP0115,52,30,38582,Rotational,21,71,13,1,39,0
EMP0116,54,35,17791,Rotational,54,64,12,2,2,1
EMP0117,31,12,20458,Night,43,68,2,4,4,1
EMP0118,20,0,29221,Night,39,68,4,4,24,1
EMP0119,18,0,32968,Rotational,44,94,4,1,18,0
EMP0120,22,0,29070,Night,36,60,7,3,11,1
EMP0121,43,21,39937,Night,13,69,9,4,37,1
EMP0122,31,11,32802,Rotational,15,98,8,5,26,0
EMP0123,56,34,22420,Rotational,42,95,7,5,8,0
EMP0124,44,25,18642,Night,19,96,11,4,22,0
EMP0125,26,5,31775,Rotational,43,94,2,3,5,0
EMP0126,32,13,40754,Rotational,14,76,14,5,2,1
EMP0127,32,11,16357,Rotational,55,72,0,3,5,1
EMP0128,43,23,33263,Rotational,43,65,13,1,35,1
EMP0129,59,38,25201,Night,25,96,14,2,32,0
EMP0130,30,8,14739,Day,8,91,2,1,44,0
EMP0131,49,30,25231,Night,0,70,0,2,19,0
EMP0132,56,35,33168,Day,34,76,12,5,39,0
EMP0133,49,30,44624,Day,43,64,10,2,4,1
EMP0134,21,1,22635,Day,19,65,8,2,23,0
EMP0135,47,27,21964,Night,44,69,11,4,46,1
EMP0136,54,32,39785,Night,54,92,12,2,19,1
EMP0137,40,20,41510,Night,5,89,2,4,26,0
EMP0138,56,35,29261,Night,41,80,13,2,26,1
EMP0139,32,12,31254,Night,9,76,7,4,7,0
EMP0140,46,24,23392,Day,47,86,5,5,32,0
EMP0141,53,34,24336,Night,58,62,2,5,47,1
EMP0142,30,11,23939,Day,32,88,8,2,33,0
EMP0143,49,29,39412,Night,15,61,7,3,44,1
EMP0144,24,3,28676,Night,35,88,2,5,26,0
EMP0145,39,17,21843,Rotational,5,95,6,1,24,0
EMP0146,45,24,37112,Day,18,93,4,1,23,0
EMP0147,19,0,42598,Night,30,96,1,4,38,0
EMP0148,59,39,39228,Night,1,60,13,3,26,1
EMP0149,23,1,26429,Night,17,85,7,4,45,0
EMP0150,45,23,30758,Rotational,41,60,0,2,31,1
EMP0151,45,25,14272,Day,27,63,3,5,6,1
EMP0152,37,16,29350,Night,59,98,10,3,45,1
EMP0153,47,27,34538,Night,3,73,12,4,31,0
EMP0154,28,6,15400,Night,0,77,10,4,47,1
EMP0155,45,25,27371,Rotational,46,93,11,1,48,0
EMP0156,42,20,30147,Night,41,60,12,2,40,1
EMP0157,56,36,15291,Day,49,81,3,4,45,1
EMP0158,50,31,22892,Day,15,75,12,1,45,0
EMP0159,18,0,37995,Day,44,81,9,3,12,0
EMP0160,44,24,17409,Day,57,75,13,4,17,1
EMP0161,30,9,41823,Night,46,87,4,1,26,1
EMP0162,58,36,19869,Rotational,1,87,3,2,3,0
EMP0163,20,1,34401,Rotational,51,81,0,5,15,0
EMP0164,56,35,37958,Rotational,35,65,13,3,49,1
EMP0165,23,1,22766,Night,0,84,6,4,38,0
EMP0166,25,6,31768,Rotational,38,61,9,1,24,0
EMP0167,44,25,42794,Day,22,66,10,4,30,0
EMP0168,26,6,38145,Night,25,76,1,5,44,0
