feature,importance
Job_Satisfaction,0.446431055698996
Fatigue_Score,0.15469336049455532
Overtime_Hours,0.0950850941684727
Attendance_Rate,0.058931328947444975
Wages,0.04827518004023235
Overtime_Trend,0.04527005562547817
Age,0.041050141726487896
Years_of_Service,0.03609958525004078
Shift_Type_Night,0.014467867461767593
Department_Quality Control,0.009981336955118159
Department_Production,0.009004918528821565
Shift_Type_Day,0.008245224564580874
Gender_Male,0.006742165914057089
Department_Maintenance,0.006661248243754201
Gender_Female,0.006511073037034933
Shift_Type_Evening,0.006427904480072825
Department_Logistics,0.006122458863084644
